,company_no,company_name
149,5592662877,Norrorts plattsättning AB
150,5164119603,FULL CONNECTION LIMITED Filial
151,5592667785,Ardian mur och puts AB
152,5592772486,Installationsteknik i Roslagen AB
153,5592629579,ANDSVE Projekt AB
154,5020593975,ALLIED WORLDWIDE LIMITED
155,5592237464,N Service Sverige AB
156,5590002068,Mazebar & Kök AB
157,5592727555,FMJ BYGG AB
158,5592755457,Cloud RE Group AB
159,5592739246,Prio Eltjänst Sthlm AB
160,5592665011,Wallmark Trädfällning & Bygg AB
161,5590970439,Wama Entreprenad AB
162,5592386659,RP BYGG & MONTAGE STOCKHOLM AB
163,5592544729,Magnolia Hotell byggbolag AB
164,5592632896,TBM Service AB
165,5591871909,Dyviksnäs Gård AB
166,7696366686,Björkö Landsbygdsutveckling ek. för.
167,5592381635,The J.A.Y. AB
168,5591519797,ByggSima AB
169,5020666581,SECUS INTERNATIONAL CO.; LTD
170,5592766520,Norr till Söder Entreprenad AB
171,5020621982,TAJAKS SP.ZO.O.
172,5592617343,Hela Stockholms Måleri AB
173,5591448054,Willington 2 Aktiebolag
174,5592373780,Southmountain AB
175,5020604483,GEODESIE GRUPPEN AS
176,5592550411,H3E Bygg AB
177,5592494743,Kuyabano Design Studio AB
178,5020639885,EUROTECH M.CZUDEC; J RYGIEL; P. ZBOROWSKI SP.J
179,5569664351,Ergo3 Bygg AB
180,5020640586,POLLEO SP. Z. O. O.
181,5020685987,SUOMEN EUROTELINE OY
182,5592499072,New Real Estate Sweden Utveckling AB
183,5592668551,Alexander Eklund Dykentreprenad AB
184,5592500077,AF Anläggning AB
185,5592402787,ARKIVIST Group AB
186,5592429236,DS Product Scandinavia AB
187,5592427974,Berg villa AB
188,5592571847,AK-18 Gruppen AB
189,5592578560,Lisa Ullenius AB
190,5563546406,SLH Aktiv Företagstjänst AB
191,5020685094,FLOOREVER AS FREMTIDENS GULV
192,5592141310,Timberlego AB
193,7696193692,Branschrådet YBG Ekonomisk förening
194,5592466535,Jarefalks bygg;mek och entreprenad AB
195,5592452915,PreDev Ultuna PD AB
196,5592666332,Byggkällan i Roslagen AB
197,5592181324,STRONG Construction Management & Training AB
198,5592476062,Defra Återvinning AB
199,5592186661,RJK PROJEKTLEDNING AB
200,5592593932,Scandinavian Energy Group AB
201,5592665623,CSM Partners AB
202,5592681182,Konvest Bygg och Våtrum AB
203,5592133564,Konsult BG AB
204,5592747348,Svensk Ritningstjänst AB
205,5592824121,ELBYULY AB
206,5592640493,Z&S Bygg och Renovering AB
207,5592846769,Stad och Land Burell Arkitektur AB
208,5592518509,Upgrade Design Stockholm AB
209,5592640568,TT-20 Gruppen AB
210,5592751563,DLDJM Totalentreprenad AB
211,5592588551,Ulvsunda projektledning AB
212,5592752173,Znabb Celer AB
213,5592667793,Alvin Graphics & Consulting AB
214,5592699895,STHLM ROOMS AB
215,5592482300,Byggsituation i Stockholm AB
216,5592672587,Karpila Bygg & Konsult AB
217,5592692437,Rollof Design AB
218,5592623564,Sjöstruktur AB
219,5020722434,MEGA S.A.
220,5020723150,RAK-BYGG OY
221,5592613581,JLO Projektledning AB
222,5164084914,NTC cloud filial
223,5592713555,Guldhammaren bygg AB
224,5592679202,EYEDS AB
225,5020724968,MEIDACO OÜ
226,5592717689,AH Drift & Elteknik AB
227,9697935295,YarCo Group Handelsbolag
228,7020017633,Ekonomiska Föreningen Resarö
229,5592603137,Warsén Consulting AB
230,5592428097,Fimbultyr AB
231,5592720675,Tendint AB
232,5592610330,RESIDY AB
233,5592526593,Advice Project Sweden AB
234,5020727847,GF-SERVICE OY
235,5164122508,YAPI MERKEZI CONSTRUCTION SWEDEN Filial
236,5592472616,Spets Byggnadsplåt och Vent AB
237,5591564777,Antikträdet AB
238,5592316250,KATARAX Arkitektur AB
239,5592319478,Lnp bygg AB
240,5592812050,CONTI Bygg Service AB
241,5591797765,KR VENT AB
242,5592480346,By Brinell AB
243,5592754963,Trixabygg AB
244,5592622061,APL Konsult AB
245,5164117524,Vadeta Bygg i Sverige Filial
246,5592664659,MA Brunnsborring AB
247,5592813009,Målartösen AB
248,5592751043,Brynolf Konstruktion och Besiktning AB
249,5569773897,Evolution Sales Management Sweden AB
250,5020787882,STARK STANDARD OU
251,5592403090,Bley Projektpartner AB
252,5590103049,Wermdö Eketrä Byggnads AB
253,5592608607,Sveakontrast AB
254,5591969000,DESSONA Consulting AB
255,5591022859,Motala Badhusen Varamon AB
256,5592776016,J.J. Bygg & Vent AB
257,5590313234,GELEX AB
258,5592663693,Plus One Entreprenad AB
259,5592640386,Kasirga Byggentreprenader AB
260,5592379159,Bucca Studio AB
261,5592557366,R Hansson industridesign AB
262,5591364434,Massivverk AB
263,5591610604,HLG projekt AB
264,5592755564,GoodLine Konstruktion & Anläggning AB
265,5020761499,CEMART
266,5592331929,ÖJO AB
267,5592603749,Sigtuna Kalkyl & Konsult AB
268,5592303258,Helgö Form AB
269,5592664576,Attáge AB
270,5563318301,Isidor Invest Aktiebolag
271,5565137659,Jerker Larsson AB
272,5592450182,Carl Ernst Consulting AB
273,5592478472,Ingarö Grävmaskiner AB
274,5591643241,Optimea El AB
275,5590473004,Henke & Sungans Vulk och Motell AB
276,5592576465,Melskär Fastighets AB
277,5020681671,CONFIX OÜ
278,5020722210,RUSLANS CIRKINS
279,5592315450,Nordic Hill projektbolag 1 AB
280,5592641657,Jonssons Måleri Sthlm AB
281,5020703806,BRAHUS OÜ
282,5592705346,Elise Bygg & Design AB
283,5592227630,Sea Pearl Trading AB
284,5592312382,Folkungagatan produktion AB
285,5592749807,Boverus AB
286,5592600794,Eldkompaniet i Sverige AB
287,9697938356,Nemat Bygg Handelsbolag
288,5592667496,MPM Scandinavia AB
289,5592632722,KASLOTT AB
290,5592742794,Amigos Måleri & Städ AB
291,5592444656,VODA Sverige AB
292,5592669724,S4 Stockholm AB
293,5592554181,MDK Service AB
294,5592614795,MultiGroup EL och bygg AB
295,5592710791,Byggdirektoratet AB
296,5592464381,M.W.G. Larm Installationer AB
297,5592472202,BP Armas Entreprenad; Byggledning och Projektsamordning AB
298,9697915255,Stefans Mark o Anläggning Kommanditbolag
299,5592381965,VHS Nordic AB
300,5020740790,MT ON THE ROAD OY
301,5020741137,DARCHEM ENGINEERING LIMITED
302,5592571177,Marius Stefans Bygg AB
303,5591445647,Golden House bygg och städ AB
304,5591974471,AllSverigeRocks AB
305,5592694581,Farnia AB
306,5592651771,Skälby Byggservice AB
307,5592666399,Studio Sterner AB
308,5592286792,Greasepatrol AB
309,9697861947,Million Design Kommanditbolag
310,9697933035,Lively Bay Handelsbolag
311,5592363344,Brand och Fog Stockholm AB
312,5590367511,Fast 10 Stockholm AB
313,5592663073,Sickla Indoor Golf AB
314,5563729648,Morneon Aktiebolag
315,5560424847,HL Interiör Aktiebolag
316,5592648363,MS Proffs & Service AB
317,5020744875,CHANEL LIMITED
318,5592658982,M&C Entreprenad AB
319,5569391096,MIKA Safe AB
320,5592581812,Optimal Bygg Sverige AB
321,5592378136,N-TEK Roads AB
322,5592706955,Pexon Mark & Bygg AB
323,5020746565,NORTH EUROPEAN BIO TECH OY
324,5020746359,COMPAIR AIRCONDITIONING BV
325,5592217631,Tersus Byggkonsult AB
326,5567326540,MITHI FÖRVALTNING I STOCKHOLM AB
327,5592643018,ECW Innovation AB
328,5592644404,M2 Consulting Sverige AB
329,5592569882,Kembel Brand & Säkerhet AB
330,5561998062,Intertek Testing Services NA Sweden AB
331,5592697188,Local Hero Sverige AB
332,5569730947,Wallström Montage Aktiebolag
